iter	Passed	Remaining
0	1	167
1	3	159
2	4	158
3	6	151
4	8	156
5	9	148
6	10	143
7	12	140
8	13	139
9	15	135
10	16	132
11	17	130
12	19	129
13	24	149
14	26	148
15	27	146
16	29	143
17	31	141
18	32	138
19	34	136
20	35	133
21	38	135
22	40	134
23	41	130
24	42	127
25	43	124
26	45	122
27	46	119
28	48	119
29	50	117
30	52	116
31	53	114
32	55	111
33	56	110
34	58	108
35	59	105
36	60	103
37	62	101
38	63	99
39	65	98
40	67	96
41	67	93
42	69	91
43	70	89
44	71	87
45	73	85
46	74	84
47	76	82
48	77	80
49	78	78
50	80	77
51	81	75
52	83	73
53	84	71
54	85	69
55	86	67
56	87	66
57	89	64
58	90	63
59	92	61
60	93	59
61	94	58
62	96	56
63	97	55
64	99	53
65	100	51
66	101	50
67	102	48
68	104	46
69	105	45
70	106	43
71	107	41
72	109	40
73	111	39
74	112	37
75	113	35
76	114	34
77	116	32
78	117	31
79	118	29
80	119	28
81	121	26
82	122	25
83	124	23
84	125	22
85	127	20
86	128	19
87	130	17
88	131	16
89	133	14
90	134	13
91	135	11
92	136	10
93	138	8
94	139	7
95	140	5
96	142	4
97	143	2
98	144	1
99	145	0
